cliche,example,banned_formula,replacement
星空,在黑夜里追逐星空,禁"星空+梦想/远方"宏大组合,写具体的仰望场景——楼顶风 认得出名字的那颗星 落灰的望远镜
人海,在人海中寻找你的身影,禁"人海+寻找"空泛组合,写出具体地点——街名 地铁站 末班车 电梯（原指令具体化方向）
孤单,我一个人也不孤单,禁孤单直白陈述,写独处的具体物证——多出来的一双筷子 只坐一个人的长椅 双人份退成单人份的外卖
孤独,孤单一个人,禁直接使用,写独处现场感——深夜便利店独自加热的饭 空房间里的回声 反复刷新没人回复的聊天
心碎,破碎的心还在等待,禁"心碎+等待/黑夜"组合,写回避行为——绕开的那个地方 不敢点开的对话框 收起来的那件东西（原指令具体化方向）
破碎,心碎,禁直接使用,写回避现场——绕路走的那条街 删了又恢复的聊天记录 不再提起的那个名字
温柔,你的温柔照亮我的世界,禁空洞用温柔,写那个人做过什么 说过什么 忘了带走什么（原指令具体化方向）
剩余,有你我就足够,禁"剩余/有你在"空洞表达,写具体陪伴物——剩下的半杯茶 多留的一盏灯 空出的一边座位
余生,余生请多指教,禁余生承诺式抒情,写时间的具体刻度——接下来的每个冬天 下一趟车票 存了很久还没兑现的约定
遗憾,满满的遗憾,禁遗憾动词空洞,写没做完的事本身——没送出的礼物 差一句没说出口的话 停在草稿箱的消息
远方,我要去远方,禁远方文艺腔,写具体出发物——站台 空车票 没拆的行李箱
等待,我一直等,禁空洞等待,写等待留下的痕迹——亮着的台灯 摆了两副的碗筷 隔三差五看一眼的手机
拥抱,抱紧我,禁词输出,写拥抱前后的动作——张开的双臂停在半空 肩上的温度散得很慢 松开时手上留下的力道
放手,转身放手,禁动词堆叠,写放手的实体动作——把备注改回全名 归还钥匙 删掉置顶
我很想你,我很想你,禁直接说我想你,写那个人离开后留下的习惯——没关的灯 多出的筷子 没删的备注（原指令具体化方向）
时间,时间过得真快,禁时间流逝空洞,写时间留下的刻度——秒针 掉了漆的钟 泛黄的日历
梦想,我的梦想在发光,禁梦想宏大口号,写未完成的具体物——没写完的谱 起雾的窗 磨破的鞋
家,想家,禁想家直白,写家的细节物——钥匙孔 门垫 妈妈做的饭凉了
雨,下雨了想起你,禁下雨即悲伤,写雨的具体痕迹——敲窗的雨 伞骨 湿透的鞋尖
夜,黑夜多么孤独,禁夜晚即孤独,写夜的具体场景——路灯 便利店 空荡的末班车
年少,那年的年少轻狂,禁青春怀旧模板,写校园实物——黑板 操场 传过的纸条
沉默,我们沉默着告别,禁沉默即遗憾,写沉默的证据——通话记录停在第几条 没发出去的消息
告别,好好告别,禁告别煽情,写告别瞬间的物件——检票口 挥到一半的手 关门声
开始,新的开始,禁开始即希望,写开始的仪式物——闹钟 未拆封的信 亮起的屏幕
光,你是我的光,禁光即温暖,写光的来源与方向——窗帘缝 反光的水面 路灯下的影子
影子,孤单的影子,禁影子即孤独,写影子与人的距离——路灯下的影子 拉长的距离
勇气,给我勇气,禁勇气口号,写鼓起勇气的动作——握紧又松开的手 发出的那条消息
故乡,思念故乡,禁思乡套话,写故乡的感官记忆——方言 老树 井边的青苔
成长,我们都在成长,禁成长鸡汤,写成长的具体变化——换下的校服 变短的裤脚 学会的沉默
倔强,倔强的我,禁倔强直白,写倔强的身体语言——不回的低头 咬住的嘴唇 改掉的口头禅
放下,我放下了,禁放下即释然,写放下的实体动作——清空的相册 关掉的对话框 整理好的旧物
如果,如果有如果,禁假设煽情,写具体的岔路——没如果的假设 岔路口 没走的那条街
奔跑,向着梦想奔跑,禁奔跑即青春,写奔跑的生理细节——发烫的脚 急促的呼吸 追不上的公交
