id,module,rule,trigger,check,negative
LC-01,画面,先建时空物件清单再动笔情绪后置,阶段0/审改,清单≥5件具体物且禁抽象词开局,禁情绪先行空写
LC-02,画面,意象三筛：情感适配/可想象/浪漫认知刚硬抽象与主题无关者否决,审改,每意象过三筛刚硬抽象已否决,禁为炫酷用冷门考据
LC-03,画面,蒙太奇拼贴名词并置造气场允许逻辑让位画面,审改,名词并置成段且气场可感,禁逻辑说教冲淡画面
LC-04,画面,人称齿轮：大场景开局四句内切入人称叙事副歌设人称锚点,审改,四句内出现人称且副歌有人称代词,禁长堆意象无代入人称
LC-05,画面,双层时空：大历史铺陈开局第二步拉回个人落点,审改,开局背景段+个人落点段并存,禁全程悬空无落点
LC-06,声律,韵脚律动优先语义但须可唱,审改,声调旋律匹配且韵脚闭环,禁为押韵造拗口句
LC-07,声律,声调硬约束：声调服从旋律走向韵刚性转韵好过无韵,审改,声调贴合旋律无倒字硬伤,禁语义绑架声调
LC-08,声律,纯中文空格留白控节奏,审改,无外文数字标点断句空格留白,禁符号杂糅破坏律动
LC-09,声律,用典分层：默认浅典造氛围高阶一字化典,审改,浅典不堆深典一字接通谱系,禁为用典而用典
LC-10,声律,对话体：第二人称劝慰语态语气词收尾,审改/抖音,对话感可感语气词自然,禁俯视说教腔
LC-11,受众,最大公约数：取最大多数人共鸣拒私人谜语,审改,陌生人可懂无私人密码,禁自溺式意象
LC-12,受众,受众时机：先算对象阅历与时机窗口不到不写,阶段0,题材与对象阅历匹配说明,禁错位投放
LC-13,受众,暴露分层：公开层浅白私密层埋码过真改写,审改,公私分层可辨过真已改写,禁隐私裸奔或全藏
LC-14,受众,对话劝慰收束：说给你听非唱给天听,审改,收束为劝慰独白语态,禁俯视审判腔
LC-15,情感,每个抽象词配具体借体借体须可感,审改,抽象词零裸奔每个必有物象,禁纯概念排比
LC-16,情感,查重换象：高频意象强制更换备类别库,审改,高频词已替换新象可感,禁沿用烂大街意象
LC-17,情感,否定疑问引擎：用否定疑问词推进情绪短句对话结构,审改,否定疑问句驱动情绪转折,禁平铺直叙无引擎
LC-18,情感,先黑暗后出口：先把痛苦说具体再给审慎乐观出口禁盲目励志,审改,黑暗具体+出口克制,禁空洞打气
LC-19,情感,绵里藏针：哲理装进情歌容器后期须隐,审改,哲理可感不说教,禁大锣大鼓说教
LC-20,情感,场景格言：先具体场景再压缩成对仗短句,审改,场景先行格言收束,禁空降格言
LC-21,情感,深入浅出：先生活类比后道理不掉书袋,审改,类比先行道理可懂,禁术语轰炸
LC-22,情感,熟中带生：声口像其人所讲但保持陌生化距离,审改,人物声口可辨且不贴靠,禁代笔腔
LC-23,情感,以物载情：抽象情感绑定有世俗重量的具体物物作刻度,审改,每段核心情感有物可指,禁空讲情感
LC-24,情感,独幕剧弧：创伤画面开场夸张爆发自嘲和解,审改/抖音,三段弧完整,禁平起平落无弧
LC-25,情感,负面打底一步出口：浓烈绝望后只给一步可执行积极,审改,出口唯一可执行,禁廉价鸡汤多步
LC-26,减法,卡壳做减法不用加料,审改,修订删除字数大于增加字数,禁堆砌意象救场
LC-27,减法,修辞密度不等于语义密度另检语义是否空转,审改,删后语义不塌,禁辞藻掩盖空洞
LC-28,减法,借用必升级：引用必二次加工抬高一级,审改,引用有加工痕迹,禁原样照搬
LC-29,减法,连载思维：好主题留续集位允许后作反转前作,扩展位,默认单曲连载仅显式要求启用,禁默认写续集坑
LC-30,减法,自检三问：语义密度/儿女情怀/自我重复,审改,三问逐项有结论,禁跳过自检
LC-31,减法,雅俗分层：口语获亲近古典收束压格土字不上正式书面,审改/A/B/C,分层可辨收束有格,禁全俗或全雅
LC-32,减法,先白后雅收俗：开头呼告短句结尾古典意象压缩,审改,开门见山收束有格,禁虎头蛇尾
