id,module,rule,trigger,check,negative
CC-01,旋律,主题确立后不回头改音卡住补输入,审改,修订不改主题音高序列,禁以配词为由改主题
CC-02,旋律,磨的颗粒度：短动机配月级打磨童谣级配年级锤炼,审改,主题有打磨痕迹无随意音,禁赶工交半成品主题
CC-03,旋律,结构移植：学段落架构整体移植不学音色,审改,架构来源可述音色独立,禁贴靠式模仿
CC-04,旋律,超长反复签名：结尾长反复作记忆点,审改,结尾有记忆签名段,禁草草收尾无签名
CC-05,旋律,动机经济：同旋律家族换词复用,扩展位,默认每首新动机复用仅显式要求,禁无意义换动机
CC-06,旋律,平等共鸣检验：顶层底层同一种感觉否则重写,审改,术语黑话已清除圈外可感,禁圈层自嗨
CC-07,旋律,自我感动验收：先过自己关再谈听众,审改,有感动自述句,禁自己无感交工
CC-08,旋律,标签转供需：把是否XX重构为世界是否还缺XX,审改,供给判断有结论,禁跟风重复供给
CC-09,旋律,可演奏性检验：最简单乐器复现不了即太复杂,审改,主题可哼唱可弹,禁炫技式不可复现主题
CC-10,真诚,我说优先正确：正确而无趣一律重写,审改,有痛处标准句无模板鸡汤,禁正确废话
CC-11,真诚,先申诉后服从：未定坚持申诉定后全力服务整体,审改,分歧有申诉记录定后无掺私,禁未争先从或定后拆台
CC-12,真诚,元素效用检验：民族材料须增进表达否则不用,审改,每处民族元素有表达理由,禁贴标签装点
CC-13,真诚,技术转译：调式织体音色转译进个人语言不堆符号,审改,转译手法可述无符号堆砌,禁民乐器点缀式拼贴
CC-14,真诚,最高标准内决：标准不需要外部承认,审改,标准句内生不迎合,禁评审导向改标准
CC-15,真诚,真我校准：痛苦信号等于写的不是真正的我以此返工,审改,别扭处已返工,禁带病交工
CC-16,真诚,立场验收：发表前问痛处全亮正能量算失败,审改,灰度意象保留至少一处,禁全面励志化
CC-17,留白,减法审听：首轮写完删音符听共振空间是仍在响的场,审改,配器件数不增反减且能量差保持,禁加料救场
CC-18,留白,主题变奏：唯一主题列变奏清单配器调质料抽象层级,审改,变奏清单齐全无第二主题,禁堆新旋律掩盖发展无力
CC-19,留白,非乐音等权：田野录音数据档案与乐音同等入曲,扩展位,默认不启用仅显式要求,禁为猎奇硬塞非乐音
CC-20,留白,矛盾并置：对立材料可同时为真不强行解决,审改,对立并存有张力,禁和稀泥式调和
CC-21,留白,简单上限检验：能否还原为一笔写不动即能力不到,审改,有一笔版本,禁复杂掩盖无核
CC-22,留白,概念先行：先立可自圆其说的非音乐框架音符执行,审改/制作,概念一句话可述,禁无概念堆料
CC-23,纪律,持续写作纪律：固定时间固定工序不依赖心情,全程,工序可述无等灵感,禁灵感神话
CC-24,纪律,制约清单化：先拆委托制约与关键词在制约上构建,阶段0,制约加关键词清单齐全,禁无约束开写
CC-25,纪律,印象集迭代：先做独立小样边用边反馈再进正式版,扩展位,默认直出仅显式要求启用,禁跳过小样直交终稿
CC-26,纪律,评注非同步：主题绑定人物情绪保留曲式独立,审改,主题独立成曲不贴剪辑点,禁逐动作同步
CC-27,纪律,变奏适配：同旋律靠配器织体调速适配多场景,审改,多段适配手法各异,禁一段配器用到底
CC-28,纪律,职业距离：长期协作靠专业边界维持,全程,边界可述,禁私人化绑架专业判断
CC-29,纪律,死磕替代灵感：闭关加多版本迭代加贴片试错,审改,版本迭代可查,禁一稿交工
CC-30,纪律,批评落听觉：批评必落可听效果加具体技法开放反批评,审改,批评可听化,禁玄学批评
