instrument,family,role_verb,character,energy_min,energy_max,style_tags,region,note,timbre,technique,arrangement_role,priority
fingerpicked guitar,string,strums,暖 木质 叙事,1,6,indie folk ballad intimate,global,叙事底色首选,颗粒感 温润,指弹分解 勾弦打板,旋律与和声兼用,lead
felt piano,keyboard,cushions,闷 暖 内收,1,6,ballad lo-fi intimate,global,情绪底色,闷 绒 暖,制音踏板 弱奏,铺底与色彩,lead
acoustic guitar,string,strums,自然 亲切,2,7,folk pop country,global,木吉他扫弦分解,自然 通透 木感,扫弦 分解和弦,和声支撑与律动,lead
upright bass,string,pulses,松 沉,2,7,folk jazz,global,倍大提琴拨奏,松 厚 木质,拨奏 拉奏,低频根基,support
electric guitar,string,riffs,锐 躁 有棱角,4,9,rock alternative,global,失真音色,锐 亮 电感,推弦 滑棒 闷音,旋律riff与色彩,lead
distorted guitar,string,screams,裂 炸 压迫,6,10,alternative rock hardcore,global,失真吉他墙,撕裂 轰鸣,失真强力和弦 扫弦墙,力量层与riff,lead
live drums,percussion,drives,肉感 现场,4,9,rock pop live,global,现场鼓组,肉 震 现场,鼓棒击打 滚奏,节奏骨架,lead
brushed snare,percussion,ticks,细 碎 温柔,1,5,ballad folk,global,鼓刷军鼓,沙 细 柔,鼓刷扫击,柔和节奏点缀,support
warm bass,bass,locks,暖 稳 底托,2,8,R&B neo-soul ballad,global,温暖贝斯,暖 圆 深,指弹根音 滑音,低频与和声根基,support
808 bass,bass,slams,重 闷 沉,6,10,hiphop trap,global,抖音必备低频,重 闷 长延音,滑音 长音 正弦波,低频律动核心,support
synth bass,bass,pushes,电 弹 推,4,9,EDM synthwave,global,合成贝斯,电 弹 通透,锯齿波 包络调制,电子律动低音,support
hi-hats,percussion,ticks,亮 脆 密,3,9,trap hiphop,global,踩镲十六分,亮 金属 脆,开合击 十六分滚奏,律动细节层,support
pluck lead,synth,sparkles,亮 弹 抓耳,5,9,EDM synthwave,global,拨奏主音,亮 弹 锯齿,快速琶音 断奏,旋律主奏,lead
Rhodes,keyboard,warms,丝 滑 复古,2,7,neo-soul jazz,global,电钢琴Rhodes,丝 暖 电铃,锤击金属片 颤音,和声铺底与独奏,lead
cello,string,bows,暗 深 倾诉,2,8,ballad classical,global,大提琴长弓,暗 深 松香,长弓连奏 揉弦,旋律与抒情铺底,lead
string ensemble,string,swells,厚 广 电影感,3,9,cinematic classical,global,弦乐群,厚 广 明亮,齐奏 渐强,宏大铺底,support
suona,brass,blasts,炸 亮 传统,7,10,guochao,东亚,记忆钉,炸 亮 金属,循环换气 高音冲击,民族色彩主奏,lead
guzheng,string,plucks,清 透 古意,3,8,guochao 国风,东亚,五声音阶,清 透 金属,摇指 刮奏 泛音,民族旋律与色彩,lead
pipa,string,plucks,急 密 珠玉,4,9,guochao 国风,东亚,琵琶轮指,珠 脆 急,轮指 扫弦 煞音,民族旋律主奏,lead
erhu,string,bows,悲 咽 哭腔,3,8,国风 民乐,东亚,二胡揉弦,悲 柔 琴弦,揉弦 滑音 颤弓,民族抒情主奏,lead
dizi,bamboo,blows,亮 清 山野,3,7,国风 民乐,东亚,笛子吐音,亮 清 竹气,吐音 花舌 气震,民族旋律点缀,lead
taiko,percussion,slams,震 厚 仪式,6,10,和风 国风,东亚,太鼓,震 厚 低频,大槌击打 滚奏,仪式节奏核心,lead
sitar,string,plucks,缠 异域 冥想,2,8,南亚 融合,南亚,西塔琴,缠 嗡 金属,滑棒 持续低音弦,异域旋律与氛围,lead
tabla,percussion,patterns,脆 密 律动,2,8,南亚 融合,南亚,塔布拉鼓,脆 密 手击,手指击打 滚奏,印度节奏核心,lead
ud,string,plucks,暖 异域 叙事,2,7,中东 融合,中东,乌德琴,暖 圆 木香,拨奏 装饰音,中东旋律主奏,lead
ney,bamboo,blows,空 远 苍凉,1,7,中东 融合,中东,奈伊笛,空 气 苍凉,气声 滑音,中东氛围旋律,lead
kora,string,plucks,亮 圆 部落,2,8,西非 融合,西非,科拉琴,亮 圆 竖琴感,轮指琶音,非洲旋律与节奏,lead
djembe,percussion,drives,热 活 聚落,4,9,西非 融合,西非,金贝鼓,热 活 皮膜,掌击 开放音 低音,非洲节奏核心,lead
bandoneon,keyboard,breathes,旧 暖 思念,2,7,拉丁 探戈,拉丁,班多钮,旧 暖 簧片,风箱开合 揉簧,探戈旋律主奏,lead
cajon,percussion,knocks,木 稳 步行,3,8,拉丁 民谣,拉丁,卡宏鼓,木 稳 箱体,掌击 刷奏,节奏骨架,lead
tin whistle,wind,whistles,亮 民谣 单纯,2,7,凯尔特,凯尔特,哨笛,亮 纯 哨音,滑音 装饰音,凯尔特旋律点缀,lead
