genre,base,bpm_range,key_instruments,atmosphere_tags,vocal_tags,weirdness,style_influence,note,rhythm_pattern,chord_progression,time_signature,production
深夜室内民谣,indie folk,60-75,钢琴+木吉他+大提琴,小房间 底噪 木质,疲惫沙哑 念白,22-28,78-83,私密小空间叙事 指弹木吉他+近麦气声是灵魂 适合独处/回忆情绪 忌加鼓组破坏深夜感,均匀八分 呼吸感 留白,I-V-vi-IV 叙事进行,4/4,近距拾音 底噪保留 干声混响小
抒情流行,ballad pop,70-90,felt piano warm bass brushed snare,close-room 亲密,清亮 呼吸感,20-30,78-85,旋律先行 和弦稳 人声靠前 副歌铺弦乐开宽度 主歌收窄留白 大众接受度最高,舒缓八分 副歌渐强,I-V-vi-IV 副歌转vi-IV-I-V,4/4,大混响 钢琴铺底 人声前置
alternative rock,rock,90-130,distorted guitar live drums,大空间混响 raw,发力 真声,25-35,70-80,失真吉他+律动贝斯打底 主歌半念白副歌爆开是标配 适合愤怒/迷茫 忌过度修饰人声,反拍 强力和弦 断奏,强力和弦进行 小调倾向,4/4,吉他失真 鼓组贴脸 大混响
festival EDM,EDM,120-140,synth bass pluck lead kick,体育场 澎湃,电音 明亮,15-25,85-95,Build-Drop 循环驱动 主歌留白副歌靠合成器堆叠 BPM 128 附近最稳 人声切片是记忆点,四四拍 底鼓每拍 高潮十六分,i-vi-IV-V 循环,4/4,sidechain 泵感 高潮 drop 高频闪
dark trap,hiphop trap,120-160,808 bass hi-hats piano loop,暗 空 半速,懒散 压低,20-25,85-95,808 滑音+闷暗 hi-hat 氛围阴冷 适合抑郁/紧绷情绪 人声压低贴麦 忌明亮和弦,半速律动 三连音 hi-hat,小调 i-VI-III-VII,4/4 半速,808 滑音 暗混响 人声延迟
neo-soul R&B,neo-soul,70-95,Rhodes muted guitar warm bass,贴心 靠后拍,丝滑,15-25,80-90,七九和弦铺底+律动鼓刷 人声即兴感强 适合暧昧/温柔情绪 转音是灵魂 忌直白大调,靠后拍 慵懒切分,ii-V-I 七和弦色彩,4/4,Rhodes 暖声 人声和声堆叠
indie folk,folk,70-90,fingerpicked cello brushed drums,干燥 封闭,自然 叙述,20-30,75-85,木吉他+口琴+和声伴唱 颗粒感人声 叙事性强 适合回忆/乡愁 忌过度制作,指弹分解 切分扫弦,I-V-vi-IV 或 I-ii-IV-V,3/4 或 4/4,干声 近场 有机底噪
guochao,国潮电子,120-160,suona 808 hi-hats electronic,华丽 街市,自如 喊麦 半唱,12-20,85-95,中文说唱+传统音色采样(锣鼓/琵琶)融合 适合国风燃向 808 与传统音色平衡是关键,四四拍 军鼓双拍,小调 i-VI-III-VII,4/4,民乐采样 808 重低音 电子音色
cinematic orchestral,orchestral,60-90,钢琴 string brass choir,宏 电影感,戏剧 朗诵,15-25,75-90,大编制弦乐+铜管+定音鼓 动态极大 适合史诗/离别/宏大叙事 弱段铺弦乐强段全开,宏大渐强 定音鼓滚奏,史诗和声 i-VI-III-V,4/4,管弦乐编排 大规模混响
synthwave,retro电子,90-120,synth arpeggio neon,霓虹 未来,机器人 冷,20-30,80-90,复古合成器+鼓机+粗粝质感 适合怀旧/赛博情绪 副歌加厚模拟合成器垫,八分琶音 底鼓强推,i-VI-III-VII 小调,4/4,gated reverb 模拟磁带 复古合成器
american country,country,90-120,banjo acoustic fiddle,田园 小酒馆,亮 方言,15-25,75-85,木吉他扫弦+滑音吉他+口琴 叙述性强 适合乡愁/公路情绪 忌过度混音,桶鼓两拍 切分扫弦,I-IV-V 经典,4/4,木质感 和声密集 轻压缩
蒸汽波,vaporwave,80-100,slow synth 采样 pad,复古 塑料 梦,机械 飘,20-30,85-95,慢速切片+爵士和声采样 朦胧怀旧 适合慵懒/复古情绪 人声可带轻微失真或变调,慢速 半速采样,大七 慵懒进行,4/4,磁带降调 低保真 采样循环
古风民乐,国风,60-90,guzheng erhu dizi,山水 庭院 帘幕,柔 气声 戏曲腔,15-25,75-85,笛/古筝/琵琶/二胡为主 五声音阶 适合古装/江湖题材 忌西洋和弦密集堆叠,五声节奏 散板,五声音阶 宫商角徵羽,4/4 或散板,民乐实录 室内乐 留白
emo rock,情绪摇滚,90-130,distorted guitar live drums,卧室 裂缝 宣泄,哭腔 破音,25-35,70-80,失真吉他+情感爆发人声 Bridge 常骤停独白 适合青春疼痛/撕裂 副歌开最大动态,反拍 副歌爆发,小调 I-VI-III-VII,4/4,吉他墙 人声近场 对比动态
流行说唱,pop rap,80-110,808 synth melody,街头 夜店 自信,松 弹 清晰,15-25,80-90,旋律 hook+flow 律动 节拍器感强 适合态度/叙事类 Hook 必须洗脑可跟唱,四分 flow 切分 ad-lib,小调循环 四和弦,4/4,808 低频 人声前置 混响少
雷鬼,reggae,70-90,offbeat guitar bass,沙滩 热 摇晃,慵懒 松散,20-30,75-85,反拍切分+贝斯重音 慵懒摇摆 适合轻松/海边氛围 忌抢拍,反拍吉他 每拍错位,反拍 I-V-vi-IV,4/4,反拍切分 贝斯律动 轻松混响
拉丁流行,latin pop,90-120,spanish guitar percussion,热情 舞池 阳光,亮 弹 律动,15-25,80-90,沙锤+康加鼓+吉他律动 热情 适合欢快/恋爱情绪 副歌要让人想跳,康加节奏 附点切分,I-V-vi-IV 或小调进行,4/4,打击乐层 明亮 舞池动态
凯尔特民谣,celtic folk,70-100,fiddle tin whistle bodhran,山谷 篝火 传说,亮 叙事,15-25,75-85,风笛/小提琴+手鼓 古朴叙事 适合史诗/乡愁题材 忌现代合成器乱入,六八拍 跳音,I-IV-V 五声色彩,6/8,民间乐器 干声 群唱
蓝调,blues,60-100,slide guitar harmonica piano,烟 酒吧 深夜,沙哑 慵懒,25-35,70-80,12 小节+布鲁斯音阶 推弦滑音 适合沧桑/深情情绪 吉他与人是主体,shuffle 三连音摇摆,蓝调十二小节 I-IV-V,4/4 或 12/8,复古 磁带质感 口琴近场
香颂,chanson,70-100,accordion violin piano,巴黎 咖啡 旧楼,叙述 微哑,20-30,75-85,叙述口吻+手风琴/钢琴 诗意 适合文艺/暧昧情绪 人声叙述感强,圆舞曲摇摆 附点,ii-V-I 浪漫和声,3/4 或 4/4,手风琴 复古混响 叙事人声
粤语流行,cantopop,70-100,piano strings electric guitar,都市 情深 街角,圆润 深情,20-30,75-85,粤语发音+深情旋律 副歌常拉长音 适合港风怀旧/深情题材,抒情八分 副歌推高,I-V-vi-IV 常用,4/4,弦乐铺底 钢琴主导 精致混音
闽南语歌,minnan,70-100,erhu guitar keyboard,海边 巷弄 年代,厚 悲 叙事,20-30,75-85,闽南语口语+吉他/萨克斯 市井深情 适合乡愁/打拼题材 忌文绉绉,慢速摇摆 附点,小调 i-VI-III-VII,4/4,年代感 二胡音色 叙事混响
citypop,都市流行,95-120,synth bass rhodes electric guitar,霓虹 夏夜 汽车,慵懒 明亮,15-25,80-90,放克贝斯+合成器+华丽和声 都市夜感 适合复古都市/暧昧情绪 副歌和声堆叠,放克切分 底鼓四拍,大调 属七 七和弦色彩,4/4,复古合成器 明亮压缩 夜感
土嗨,电子,130-150,808 lead synth 电子鼓,广场 爆点 燃,高喊 直给,10-18,90-95,原指令抖音流派,四四拍 强拍直给,小调循环 四和弦,4/4,重低音 高频闪 直白混音
喜剧,搞笑,80-120,口哨 拨弦 滑稽音效,搞笑 夸张 谐,整活 变调,30-40,60-70,原指令抖音流派,跳脱 突停突转,大调 半音搞笑进行,4/4,音效点缀 变调人声 轻快
喊麦,说唱,90-110,808 电子鼓 合成lead,夜店 江湖 冲,喊 高亢 直白,15-20,85-90,原指令抖音流派,四分强拍 顿挫,小调循环,4/4,人声最大 压缩狠 低音猛
爵士,jazz,90-140,钢琴 萨克斯 倍大提琴 鼓刷,烟 即兴 沙龙,松弛 转音 即兴,25-40,65-75,原指令和弦进行依据,摇摆三连音 切分,ii-V-I 或 iii-VI-ii-V,4/4 或 3/4,爵士鼓刷 倍大提琴拨奏 现场感
放克,funk,95-115,电贝斯 切分吉他 小号,律动 弹 街头,喊 弹 即兴,20-30,75-85,切分贝斯+节奏吉他闷音 律动第一 适合律动/自信情绪 忌旋律太满,十六分贝斯切分 吉他强音,小调 I-IV 转位,4/4,贝斯主导 吉他清音切分 鼓组紧凑
重金属,heavy metal,120-160,失真吉他 riff 双踩,重型 轰鸣 暗,嘶吼 高音,35-50,60-70,失真双吉他+双踩鼓 力量感 适合愤怒/爆发情绪 忌清音过多,十六分 riff 双踩,强力和弦 小调,4/4,失真堆叠 双踩 大动态
朋克,punk rock,150-190,失真吉他 直给鼓,粗糙 冲 青年,喊 直白 喘,30-40,65-75,三和弦+快速鼓点+嘶吼 粗粝直接 适合叛逆/躁动情绪 忌精修人声,三和弦快速 反拍,I-IV-V 强力和弦,4/4,快 糙 现场感 压缩狠
灵魂乐,soul,75-95,管乐 电钢琴 贝斯,教堂 深情 黑胶,厚 转音 撕裂,20-30,75-85,福音和声+主唱即兴装饰 情感浓烈 适合深情/挣扎情绪 人声是绝对主角,切分律动 靠后拍,大调 I-vi-IV-V 七和弦,4/4,管乐层 和声堆叠 复古暖
波萨诺瓦,bossa nova,100-130,尼龙吉他 打击乐 钢琴,海边 咖啡 松弛,轻 气 慵懒,20-30,75-85,尼龙吉他+轻打击乐 慵懒九和弦 适合咖啡馆/暧昧氛围 忌重拍,巴西切分 轻扫,ii-V-I 爵士进行,2/4 或 4/4,尼龙吉他分解 轻打击 柔混响
探戈,tango,110-130,班多钮 小提琴 钢琴,舞厅 焦灼 魅,戏剧 强收,25-35,70-80,原指令乐器依据（班多钮）,切分顿挫 附点,小调 i-VI-III-VII,2/4 或 4/4,班多钮主导 顿挫重音 舞台感
弗拉门戈,flamenco,90-140,弗拉门戈吉他 响板 卡宏,火 庭院 热烈,嘶哑 呐喊,25-35,70-80,吉他轮扫+拍手+响板 情绪炽烈 适合激情/哀怨题材 忌电子鼓,三拍 拍手节奏,安达卢西亚调式 弗里几亚,3/4 或 6/8,吉他扫弦 响板 现场呐喊
桑巴,samba,140-160,巴西打击乐 铜管 吉他,狂欢 太阳 舞,亮 喊 弹,20-30,75-85,鼓群+切分 狂欢律动 适合节日/热舞场景 忌慢速,十六分打击 律动密集,大调 I-IV-V,2/4,打击乐墙 铜管 高能
合成器流行,synth pop,100-125,模拟合成器 鼓机,彩色 未来 复古,亮 轻盈,15-25,80-90,明亮合成器+鼓机+和声 轻快 适合都市清新/恋爱情绪 忌失真,八分琶音 四拍底鼓,大调 I-V-vi-IV,4/4,模拟合成器 门限混响 鼓机
新浪潮,new wave,120-140,合成器 电贝斯 鼓机,冷 前卫 夜,冷 机械 疏离,20-30,80-90,合成器贝斯+冷感吉他 复古未来 适合怀旧/怪诞情绪 人声偏冷,机械八分 无切分,小调 i-VI-III-VII,4/4,冷音色 门限鼓 合成器铺底
后摇,post rock,70-120,电吉他 鼓 弦乐,辽阔 极简 情绪,器乐 哼唱,30-45,55-65,吉他氛围墙+渐进爆发 弱强对比大 适合孤独/空灵情绪 长段落铺陈是特色,渐强循环 爆发,长进行 悬浮和声,4/4 或 6/8,大混响 音量渐强 堆叠
老派说唱,boom bap,85-95,鼓机 采样 钢琴,街头 年代 厚,硬 清晰 押韵,15-25,80-90,节拍采样+flow 叙事 粗粝街头 适合态度/奋斗题材 忌过度自动调音,boom bap 反拍,采样循环 小调,4/4,鼓机硬切 黑胶采样 低保真
国风电子,国风电子,110-140,民乐采样 合成器 808,玄幻 江湖 新,电子 戏腔,15-25,85-95,电子律动+传统音色(笛/筝)采样 古今融合 适合燃向/玄幻题材 节奏与传统旋律平衡,四四拍 民乐律动,五声加电子进行,4/4,民乐采样处理 电子低音 现代
戏腔流行,国风,80-110,民乐 钢琴 电子鼓,戏台 传 美,戏腔 真假声,15-25,80-90,戏曲唱腔(花旦/老生)+流行编曲 适合古风/惊艳转折 副歌转戏腔是爆点,戏曲节奏 拖腔,五声音阶,4/4,戏腔人声 民乐点缀 现代编曲
