hook_type,features,length,style_tags,example,notes,melody_trait,rhythm_motive,placement,technique,mode_fit
魔性循环,短 可重复 节奏感强,2-6字,洗脑 循环 卡点,我 真的 会谢,重复3-4遍即一首歌,同音反复 级进小回环,切分节奏 固定短动机,副歌 全曲重复,节奏洗脑 无脑重复 可接唱,douyin
情感浓缩,短 打动 记忆点,4-9字,走心 深情,平淡的句子 最伤人,经典歌曲 Hook,级进下行或上行解决,舒缓 附点拉长,副歌首句,反衬 留白 少即是多,classic
反差金句,前后反转 意外,5-10字,整活 反差,上一秒 开心 下一秒 破防,反差整活型,跳进 大跳 意外音,突停 重音换位,副歌或结尾,前半铺垫 后半翻牌 意外感,douyin
情绪爆发,喊出来 释放,3-8字,爆发 宣泄,把 所有 委屈 喊出来,先压后炸结构用,上行大跳 高音冲击,三连音 强拍堆叠,副歌高潮 桥段爆发,先压后炸 骤起 全开,douyin
节奏钩子,顺口 能唱 押韵,4-9字,rap 说唱,快 乐 是 我 的 超能力,可脱离歌曲独立传播,同音或级进,切分 三连音 flow,副歌或 Pre-Chorus,顺口 押韵 节奏记忆,douyin
提问式,抛问题 留悬念,4-9字,悬念 互动,你 有没有 这样 爱过,让人想接话,上行半音 悬而未决,附点 等待感,副歌前或副歌首,设问 留白 让听众接话,both
数字式,具体数字 可计数,3-8字,记忆点 具象,第 一百零一次 想你,数字制造记忆点,同音反复 强调,规整 重音对齐,副歌,数字具象 精确感,both
动作式,身体动作 画面感,4-9字,画面 代入,我 把 手 举到 一半,动作即画面,级进 起伏贴动作,停顿 定格感,副歌或桥段,动作定格 慢镜头感,both
场景式,一个场景 定格,5-10字,画面 定格,末班车 上 只有 我,场景即情绪,级进下行 叙述,平稳 呼吸感,主歌尾或副歌,场景定格 情绪外化,classic
转折式,前半句反转,5-10字,反差 意外,笑着 说 再见 的 人,前后情绪反转,半音 意外音,突转 换拍,副歌或结尾,语义反转 情绪翻转,classic
空耳式,谐音 双关 好记,2-6字,魔性 洗脑,雨 一直 下 气氛 不算 融洽,谐音记忆点,同音 级进,重复 节奏一致,副歌 循环,谐音双关 双关记忆,douyin
方言式,方言直写 发音,2-7字,接地气 特色,我 晓得 你 会 走,方言即特色,自然语调 级进,口语节奏,副歌或主歌尾,方言发音 地域记忆,douyin
吐槽式,自嘲 吐槽 短平快,4-9字,搞笑 接地气,又是 加班 到 凌晨 的一天,吐槽引发共鸣,级进 平直,快 顿挫,副歌或 Pre-Chorus,口语直给 共鸣感,douyin
口号式,短促 有力 喊出来,2-5字,爆发 宣泄,都 给 我 闭嘴,口号式洗脑,同音强音或上行,强拍 军鼓对齐,副歌 循环,命令式 齐唱感,douyin
emo式,破碎 情绪 短句,3-8字,emo 走心,我 也 不想 这样,破碎感记忆点,级进下行 叹气感,缓慢 留白,桥段或副歌尾,破碎短句 叹气留白,both
重复词式,关键词 反复 加深,2-4字,洗脑 记忆,别 走 别 走,重复加深记忆,同音反复,固定节奏 重复,副歌 循环,关键词轰炸 情绪加码,douyin
旋律上行式,上行 情绪推高,5-10字,走心 渐强,我 要 飞 到 天 亮,上行推进,连续上行 阶梯级进,渐强 附点推进,副歌高潮,阶梯上行 情绪递进,classic
问答式,自问自答 完整,6-12字,互动 叙事,你 过 得 好 吗 我 很 好,对唱感,上句上行 下句下行,呼应 一答一应,主歌尾或副歌,问答呼应 完整感,classic
喊唱式,高喊 爆发 直给,2-6字,摇滚 爆发,啊 啊 啊 嘿,摇滚吼,同音 大跳,强拍 齐喊,副歌或结尾,齐喊 现场感,douyin
念白式,说唱 念白 反差,4-10字,叙事 反差,那 天 你 走 了 之 后,念白感,语调起伏 半唱半说,自由 口语,主歌或桥段,口语叙事 情绪蓄力,classic
和声堆叠式,合唱 齐唱 厚度,3-8字,合唱 圣歌,我 们 永 远 在 一 起,齐唱感,级进 稳定,规整 齐唱,副歌 结尾,和声层叠 合唱厚度,classic
留白式,空拍 停顿 悬,3-7字,悬念 高级,我 不 说 你 也 懂,留白感,级进下行,突停 空拍,副歌尾或桥段,戛然而止 意犹未尽,classic
旋律型,词简单 旋律是记忆点 高音冲击,2-6字,高音 大气 流行 抒情,我的 未来 不是 梦,词不重要旋律上行高音收尾是记忆点；Suno 用旋律描述配合短词,连续上行 大跳 高音收尾,长音保持 附点拉长,副歌 结尾高潮,高音冲击 旋律记忆 词简,both
意象锚点型,核心意象 反复回归 记忆锚,4-9字,走心 深情 民谣,月亮 代表 我 的 心,一个核心意象每轮副歌回归意象本身是 hook；与歌词意象家族呼应,级进 稳定 回归感,规整 重复,副歌 每轮回归,意象回归 锚点记忆,classic
拟声语气型,无语义 纯音色 魔性,1-4音节,洗脑 魔性 抖音 快乐,la la la 或 啊~,无实义音节节奏和音色是记忆点；可作 hook 尾缀或整段,同音反复 级进,固定节奏 可跟唱,副歌尾 循环段,无义音节 节奏洗脑 可跟唱,douyin
哲理格言型,人生句子 可独立传播 态度宣言,6-12字,走心 励志 态度,越过 山丘 才 发现 无人 等候,不是喊口号而是贴人生标签的句子；脱离歌曲可独立传播,级进下行 叙述感,平缓 顿挫,副歌首句 结尾,格言化 态度宣言 独立传播,classic
