emotion,energy_words,texture,energy_min,energy_max,vocal_hint,style_hint,arc_hint,mode_harmony,rhythm,tempo,register,dynamics,emotion_level
愤怒,锋利 燥热 压迫,sharp hot,7,9,压嗓 强放 爆发,rock hardcore,先压后炸,小调 不协和音程 减和弦,切分 密集十六分 重音移位,140-180,中高音 强混声,强→极强 全开爆发,core
孤独,冷 空 钝,empty cold,2,6,气声 内收 自言自语,lo-fi intimate,低开缓升,小调 空五度 挂二和弦,缓慢四分 留白 附点慵懒,60-75,中低音 气声,弱 内收,core
自嘲,松 微温 坦荡,loose warm,3,6,半说半唱 懒散,indie folk,平缓带转折,混合利底亚 半音下滑 爵士色彩和弦,摇摆律动 切分滑音,80-95,中音区 松弛,中弱→中强 起伏,secondary
绝望,冷 沉 空洞,cold hollow,1,4,气声 轻声 破碎,dark ambient,平铺渐弱,弗里几亚 小二度 减七和弦,沉重八分 三连音,60-70,低音区 沙哑,弱→中 沉底,core
温暖,暖 妥帖 包裹,warm,3,6,轻柔 混气,ballad intimate,平坦带温度,大调 大七和弦 五度循环,平稳八分 自然摇摆,75-90,中音区 胸腔共鸣,中弱→中强 柔和起伏,core
期待,亮 悬 心跳,bright anticipating,5,8,气带喜 上挑,pop synth,渐进上升,属和弦持续 挂四解决,附点推动 切分悬念,90-110,中高音 轻亮,中弱→渐强 蓄势,core
撕心裂肺,痛 尽 崩,raw explosive,8,10,破音 用力 边缘,emo rock,拉满爆破,小调 变和弦 全音阶滑奏,强拍堆叠 三连音冲击,70-85,高音区 撕裂,中→极强 全开,secondary
平静,静 缓 安稳,calm steady,2,5,低缓 平稳,ambient folk,平铺,大调五声音阶 纯四纯五度,均匀四分 呼吸留白,60-72,中低音 平稳,弱 均匀,core
紧张,绷 压 战栗,tense,4,8,声紧 咬字用力,cinematic,起伏推进,半音阶 增和弦 三全音,急促十六分 切分压迫,110-130,高音区 紧绷,中强→极强 压迫,core
释怀,松 轻 扬,relieved,3,7,开 亮,pop folk,先抑后扬,大调 四度进行 明亮属和弦,四平八稳 舒缓八分,70-85,中音区 松开,中→渐弱 松开,core
悲伤,湿 沉 软,heavy wet,2,5,鼻音 低落 气弱,ballad piano,低开缓落,小调 下行低音线 属七色彩,缓慢附点 下沉重音,60-75,中低音 哽咽感,弱→中 下沉,core
怀念,旧 暖 微苦,nostalgic,3,6,回忆感 轻声,indie folk,平缓起伏,小调 大七小七混用,柔和摇摆 八分律动,75-90,中音区 温柔,中弱→中 温柔,secondary
遗憾,涩 空 迟,bitter empty,2,5,叹气 断句,ballad,先扬后抑,小调 未解决属和弦,拖沓附点 停顿,65-80,中低音 叹息,弱→中弱 叹息,core
甜蜜,软 亮 化,soft bright,5,8,轻盈 笑意,pop love,平稳上扬,大调 大七 二度点缀,轻快八分 弹性切分,85-100,中高音 轻盈,中弱→中 轻盈,core
心动,酥 颤 热,flutter,5,8,微抖 气声,pop synth,渐起,大调 属七 半音经过音,不稳定切分 心跳式重音,90-105,中高音 颤动,中弱 轻颤,core
焦虑,紧 快 乱,restless,4,7,语速快 气短,city pop,起伏密集,小调 持续低音 不协和堆叠,密集十六分 不安切分,100-120,高音区 急促,中强 绷紧,core
渴望,焦 伸 燃,longing,4,8,带叹 向往,pop soul,渐进推高,大调 属和弦延长 上行线条,推动型附点 上行推进,85-100,中高音 延伸,中→渐强 延伸,core
坚定,硬 直 亮,firm,5,8,笃定 清晰,rock anthemic,稳步上升,多利亚 强力和弦 根音进行,稳定进行 军鼓式重音,110-130,中音区 实声,中强 稳健,core
